params,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_alpha,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,split5_test_score,split5_train_score,split6_test_score,split6_train_score,split7_test_score,split7_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
{'alpha': 1.0000000000000001e-05},0.00551804900169,0.00108274817467,-4.88624793777e+31,-4.39119184348e+31,1.0000000000000001e-05,10,-6.36321595601e+30,-6.08307424413e+30,-1.2790064067e+31,-9.94994068844e+30,-5.40105903145e+31,-7.62392772905e+31,-4.81183913501e+31,-3.32798544912e+31,-6.97115805306e+30,-1.09033548744e+31,-9.29615165094e+31,-9.69526958315e+31,-2.25243897543e+31,-2.14552732382e+31,-1.47160509017e+32,-9.64318768203e+31,0.00116533600545,0.000143658567187,4.63549737423e+31,3.69257237184e+31
{'alpha': 10.00001},0.00578409433365,0.00101774930954,-3.64658092122e+31,-3.37653255446e+31,10.00001,1,-3.0917018609e+31,-3.01245812183e+31,-3.47898985116e+31,-2.69341021596e+31,-2.46878947303e+31,-3.47682987681e+31,-4.4369826797e+31,-3.07625457737e+31,-2.23171016587e+31,-3.45194306981e+31,-3.40659307165e+31,-3.59400470642e+31,-3.79782353095e+31,-3.62524489915e+31,-6.26005673648e+31,-4.08211496835e+31,0.00232139936274,0.000261485889122,1.18640679995e+31,4.04987344578e+30
{'alpha': 20.00001},0.00754523277283,0.00119349360466,-3.73444689356e+31,-3.45721779274e+31,20.00001,2,-3.45015853854e+31,-3.36261236115e+31,-3.97935783593e+31,-3.07915460806e+31,-2.57439891998e+31,-3.62538989457e+31,-4.53157572306e+31,-3.14158840778e+31,-2.22077151928e+31,-3.43515643835e+31,-3.32683020947e+31,-3.50871302049e+31,-3.70294987018e+31,-3.53581226395e+31,-6.08953253205e+31,-3.96931534754e+31,0.00321062789704,0.000722321896587,1.12509509805e+31,2.6252266144e+30
{'alpha': 30.00001},0.00499135255814,0.000950008630753,-3.79665529435e+31,-3.51645966894e+31,30.00001,3,-3.62477561613e+31,-3.53314226965e+31,-4.22745251265e+31,-3.27081081722e+31,-2.62587311552e+31,-3.69778841764e+31,-4.60479506113e+31,-3.19216165403e+31,-2.24323202211e+31,-3.47004622749e+31,-3.33866269426e+31,-3.52090309583e+31,-3.6923261997e+31,-3.52579258864e+31,-6.01612513334e+31,-3.92103228105e+31,0.000911026925454,0.0001545711033,1.10672725133e+31,2.1348625206e+30
{'alpha': 40.000010000000003},0.00545361638069,0.000945031642914,-3.84618050675e+31,-3.56404510152e+31,40.000010000000003,4,-3.72816699321e+31,-3.63410443326e+31,-4.37722784219e+31,-3.38661114098e+31,-2.66057886732e+31,-3.74659775001e+31,-4.67795121534e+31,-3.24273664417e+31,-2.27299685911e+31,-3.51621725639e+31,-3.36725037226e+31,-3.5510490346e+31,-3.70397581858e+31,-3.53678520588e+31,-5.98129608595e+31,-3.89825934683e+31,0.000716474383404,0.000152763611505,1.09980985821e+31,1.89688685337e+30
{'alpha': 50.000010000000003},0.00816488265991,0.00153735280037,-3.89080364254e+31,-3.60729044939e+31,50.000010000000003,5,-3.80218290327e+31,-3.7063637176e+31,-4.48419625193e+31,-3.46935888092e+31,-2.69154224655e+31,-3.7901575676e+31,-4.75178319303e+31,-3.29381716585e+31,-2.30570879204e+31,-3.56691697052e+31,-3.40186657748e+31,-3.58762790019e+31,-3.72592079745e+31,-3.55756345814e+31,-5.96322837861e+31,-3.88651793427e+31,0.00397998817378,0.000570787627901,1.09619785421e+31,1.74285652046e+30
{'alpha': 60.000010000000003},0.00567948818207,0.00104302167892,-3.93396302417e+31,-3.64929549486e+31,60.000010000000003,6,-3.86323707594e+31,-3.76594814489e+31,-4.57025576507e+31,-3.53595964918e+31,-2.72212278029e+31,-3.83319364349e+31,-4.82599286989e+31,-3.34518805398e+31,-2.34011794567e+31,-3.62021536009e+31,-3.43958422516e+31,-3.62749080726e+31,-3.75411491652e+31,-3.58431789411e+31,-5.95627861479e+31,-3.8820504059e+31,0.00173460840809,0.000210906561141,1.09436070695e+31,1.62968844873e+30
{'alpha': 70.000010000000003},0.00880056619644,0.00146996974945,-3.97727296731e+31,-3.69145998339e+31,70.000010000000003,7,-3.91828805616e+31,-3.81965497823e+31,-4.64538690015e+31,-3.59412252316e+31,-2.75329764129e+31,-3.87707760877e+31,-4.90072370924e+31,-3.39694118913e+31,-2.37579773379e+31,-3.67545949121e+31,-3.479285434e+31,-3.66944185433e+31,-3.78670266209e+31,-3.61528759727e+31,-5.95870160173e+31,-3.88369462501e+31,0.00234384608951,0.000464132087839,1.09406485753e+31,1.54353880942e+30
{'alpha': 80.000010000000003},0.00660163164139,0.00131797790527,-4.02146289524e+31,-3.73439976703e+31,80.000010000000003,8,-3.97047239249e+31,-3.87055003091e+31,-4.71455422813e+31,-3.64768218223e+31,-2.78535160676e+31,-3.9222070921e+31,-4.97618159906e+31,-3.44921333294e+31,-2.41254149119e+31,-3.73233577742e+31,-3.52044797655e+31,-3.71292627515e+31,-3.82265928723e+31,-3.64949365558e+31,-5.96949458052e+31,-3.89078978988e+31,0.00186689386171,0.00064342632894,1.09524134912e+31,1.47814066194e+30
{'alpha': 90.000010000000003},0.00577163696289,0.00115695595741,-4.06681142361e+31,-3.7783422351e+31,90.000010000000003,9,-4.0212756389e+31,-3.9200867951e+31,-4.78036396054e+31,-3.69865095281e+31,-2.81832527315e+31,-3.96863676156e+31,-5.05244634259e+31,-3.50205538996e+31,-2.45018472238e+31,-3.79059425417e+31,-3.5627803494e+31,-3.75763635389e+31,-3.86134218634e+31,-3.68631953454e+31,-5.9877729156e+31,-3.90275783879e+31,0.000627091785546,0.000284153088382,1.09779691132e+31,1.42966304468e+30
